"ID","Ngôn ngữ","Source Text","Translated Text"
98170,vi_VN,"<h3>Print Format Help</h3><hr><h4>Introduction</h4><p>Print Formats are rendered on the server side using the Jinja Templating Language. All forms have access to the <code>doc</code> object which contains information about the document that is being formatted. You can also access common utilities via the <code>frappe</code> module.</p><p>For styling, the Boostrap CSS framework is provided and you can enjoy the full range of classes.</p><hr><h4>References</h4><ol>\t<li><a href=\""http://jinja.pocoo.org/docs/templates/\"" target=\""_blank\"">Jinja Templating Language</a></li>\t<li><a href=\""http://getbootstrap.com\"" target=\""_blank\"">Bootstrap CSS Framework</a></li></ol><hr><h4>Example</h4><pre><code>&lt;h3&gt;{{ doc.select_print_heading or \""Invoice\"" }}&lt;/h3&gt;&lt;div class=\""row\""&gt;\t&lt;div class=\""col-md-3 text-right\""&gt;Customer Name&lt;/div&gt;\t&lt;div class=\""col-md-9\""&gt;{{ doc.customer_name }}&lt;/div&gt;&lt;/div&gt;&lt;div class=\""row\""&gt;\t&lt;div class=\""col-md-3 text-right\""&gt;Date&lt;/div&gt;\t&lt;div class=\""col-md-9\""&gt;{{ doc.get_formatted(\""invoice_date\"") }}&lt;/div&gt;&lt;/div&gt;&lt;table class=\""table table-bordered\""&gt;\t&lt;tbody&gt;\t\t&lt;tr&gt;\t\t\t&lt;th&gt;Sr&lt;/th&gt;\t\t\t&lt;th&gt;Item Name&lt;/th&gt;\t\t\t&lt;th&gt;Description&lt;/th&gt;\t\t\t&lt;th class=\""text-right\""&gt;Qty&lt;/th&gt;\t\t\t&lt;th class=\""text-right\""&gt;Rate&lt;/th&gt;\t\t\t&lt;th class=\""text-right\""&gt;Amount&lt;/th&gt;\t\t&lt;/tr&gt;\t\t{%- for row in doc.items -%}\t\t&lt;tr&gt;\t\t\t&lt;td style=\""width: 3%;\""&gt;{{ row.idx }}&lt;/td&gt;\t\t\t&lt;td style=\""width: 20%;\""&gt;\t\t\t\t{{ row.item_name }}\t\t\t\t{% if row.item_code != row.item_name -%}\t\t\t\t&lt;br&gt;Item Code: {{ row.item_code}}\t\t\t\t{%- endif %}\t\t\t&lt;/td&gt;\t\t\t&lt;td style=\""width: 37%;\""&gt;\t\t\t\t&lt;div style=\""border: 0px;\""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;\t\t\t&lt;td style=\""width: 10%; text-align: right;\""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;\t\t\t&lt;td style=\""width: 15%; text-align: right;\""&gt;{{\t\t\t\trow.get_formatted(\""rate\"", doc) }}&lt;/td&gt;\t\t\t&lt;td style=\""width: 15%; text-align: right;\""&gt;{{\t\t\t\trow.get_formatted(\""amount\"", doc) }}&lt;/td&gt;\t\t&lt;/tr&gt;\t\t{%- endfor -%}\t&lt;/tbody&gt;&lt;/table&gt;</code></pre><hr><h4>Common Functions</h4><table class=\""table table-bordered\"">\t<tbody>\t\t<tr>\t\t\t<td style=\""width: 30%;\""><code>doc.get_formatted(\""[fieldname]\"", [parent_doc])</code></td>\t\t\t<td>Get document value formatted as Date, Currency, etc. Pass parent <code>doc</code> for currency type fields.</td>\t\t</tr>\t\t<tr>\t\t\t<td style=\""width: 30%;\""><code>frappe.db.get_value(\""[doctype]\"", \""[name]\"", \""fieldname\"")</code></td>\t\t\t<td>Get value from another document.</td>\t\t</tr>\t</tbody></table>","<h3>Trợ giúp Định dạng In</h3><hr><h4>Giới thiệu</h4><p>Định dạng In được hiển thị ở phía máy chủ bằng Ngôn ngữ Mẫu Jinja. Tất cả biểu mẫu có quyền truy cập vào đối tượng <code>doc</code> chứa thông tin về tài liệu đang được định dạng. Bạn cũng có thể truy cập các tiện ích chung qua mô-đun <code>frappe</code>.</p><p>Để tạo kiểu, khung CSS Bootstrap được cung cấp và bạn có thể sử dụng đầy đủ các lớp.</p><hr><h4>Tài liệu tham khảo</h4><ol>\t<li><a href=\""http://jinja.pocoo.org/docs/templates/\"" target=\""_blank\"">Ngôn ngữ Mẫu Jinja</a></li>\t<li><a href=\""http://getbootstrap.com\"" target=\""_blank\"">Khung CSS Bootstrap</a></li></ol><hr><h4>Ví dụ</h4><pre><code>&lt;h3&gt;{{ doc.select_print_heading or \""Hóa đơn\"" }}&lt;/h3&gt;&lt;div class=\""row\""&gt;\t&lt;div class=\""col-md-3 text-right\""&gt;Tên Khách hàng&lt;/div&gt;\t&lt;div class=\""col-md-9\""&gt;{{ doc.customer_name }}&lt;/div&gt;&lt;/div&gt;&lt;div class=\""row\""&gt;\t&lt;div class=\""col-md-3 text-right\""&gt;Ngày&lt;/div&gt;\t&lt;div class=\""col-md-9\""&gt;{{ doc.get_formatted(\""invoice_date\"") }}&lt;/div&gt;&lt;/div&gt;&lt;table class=\""table table-bordered\""&gt;\t&lt;tbody&gt;\t\t&lt;tr&gt;\t\t\t&lt;th&gt;STT&lt;/th&gt;\t\t\t&lt;th&gt;Tên Sản phẩm&lt;/th&gt;\t\t\t&lt;th&gt;Mô tả&lt;/th&gt;\t\t\t&lt;th class=\""text-right\""&gt;SL&lt;/th&gt;\t\t\t&lt;th class=\""text-right\""&gt;Đơn giá&lt;/th&gt;\t\t\t&lt;th class=\""text-right\""&gt;Thành tiền&lt;/th&gt;\t\t&lt;/tr&gt;\t\t{%- for row in doc.items -%}\t\t&lt;tr&gt;\t\t\t&lt;td style=\""width: 3%;\""&gt;{{ row.idx }}&lt;/td&gt;\t\t\t&lt;td style=\""width: 20%;\""&gt;\t\t\t\t{{ row.item_name }}\t\t\t\t{% if row.item_code != row.item_name -%}\t\t\t\t&lt;br&gt;Mã SP: {{ row.item_code}}\t\t\t\t{%- endif %}\t\t\t&lt;/td&gt;\t\t\t&lt;td style=\""width: 37%;\""&gt;\t\t\t\t&lt;div style=\""border: 0px;\""&gt;{{ row.description }}&lt;/div&gt;&lt;/td&gt;\t\t\t&lt;td style=\""width: 10%; text-align: right;\""&gt;{{ row.qty }} {{ row.uom or row.stock_uom }}&lt;/td&gt;\t\t\t&lt;td style=\""width: 15%; text-align: right;\""&gt;{{\t\t\t\trow.get_formatted(\""rate\"", doc) }}&lt;/td&gt;\t\t\t&lt;td style=\""width: 15%; text-align: right;\""&gt;{{\t\t\t\trow.get_formatted(\""amount\"", doc) }}&lt;/td&gt;\t\t&lt;/tr&gt;\t\t{%- endfor -%}\t&lt;/tbody&gt;&lt;/table&gt;</code></pre><hr><h4>Các Hàm Thường dùng</h4><table class=\""table table-bordered\"">\t<tbody>\t\t<tr>\t\t\t<td style=\""width: 30%;\""><code>doc.get_formatted(\""[fieldname]\"", [parent_doc])</code></td>\t\t\t<td>Lấy giá trị tài liệu được định dạng như Ngày, Tiền tệ, v.v. Truyền <code>doc</code> cha cho các trường kiểu tiền tệ.</td>\t\t</tr>\t\t<tr>\t\t\t<td style=\""width: 30%;\""><code>frappe.db.get_value(\""[doctype]\"", \""[name]\"", \""fieldname\"")</code></td>\t\t\t<td>Lấy giá trị từ tài liệu khác.</td>\t\t</tr>\t</tbody></table>"
98171,vi_VN,"<h4>Default Template</h4><p>Uses <a href=\""http://jinja.pocoo.org/docs/templates/\"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p><pre><code>{{ address_line1 }}&lt;br&gt;{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}{{ city }}&lt;br&gt;{% if state %}{{ state }}&lt;br&gt;{% endif -%}{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}{{ country }}&lt;br&gt;{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>","<h4>Mẫu Mặc định</h4><p>Sử dụng <a href=\""http://jinja.pocoo.org/docs/templates/\"">Jinja Templating</a> và tất cả các trường của Địa chỉ (bao gồm Trường Tùy chỉnh nếu có) sẽ có sẵn</p><pre><code>{{ address_line1 }}&lt;br&gt;{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}{{ city }}&lt;br&gt;{% if state %}{{ state }}&lt;br&gt;{% endif -%}{% if pincode %} Mã PIN:  {{ pincode }}&lt;br&gt;{% endif -%}{{ country }}&lt;br&gt;{% if phone %}Điện thoại: {{ phone }}&lt;br&gt;{% endif -%}{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>"
98172,vi_VN,"<h4>Email Reply Example</h4>\n<pre>Order Overdue\nTransaction {{ name }} has exceeded Due Date. Please take necessary action.\nDetails\n- Customer: {{ customer }}- Amount: {{ grand_total }}</pre>\n<h4>How to get fieldnames</h4>\n<p>The fieldnames you can use in your email template are the fields in the document from which you are sending the email. You can find out the fields of any documents via Setup &gt; Customize Form View and selecting the document type (e.g. Sales Invoice)</p>\n<h4>Templating</h4>\n<p>Templates are compiled using the Jinja Templating Language. To learn more about Jinja, <a class=\""strong\"" href=\""http://jinja.pocoo.org/docs/dev/templates/\"">read this documentation.</a></p>","<h4>Ví dụ Trả lời Email</h4>\n<pre>Đơn hàng Quá hạn\nGiao dịch {{ name }} đã vượt quá Ngày đến hạn. Vui lòng thực hiện hành động cần thiết.\nChi tiết\n- Khách hàng: {{ customer }}- Số tiền: {{ grand_total }}</pre>\n<h4>Cách lấy tên trường</h4>\n<p>Các tên trường bạn có thể sử dụng trong mẫu email của mình là các trường trong tài liệu mà bạn đang gửi email. Bạn có thể tìm hiểu các trường của bất kỳ tài liệu nào qua Thiết lập &gt; Chế độ Xem Tùy chỉnh Biểu mẫu và chọn loại tài liệu (ví dụ: Hóa đơn Bán hàng)</p>\n<h4>Tạo Mẫu</h4>\n<p>Mẫu được biên dịch bằng Ngôn ngữ Mẫu Jinja. Để tìm hiểu thêm về Jinja, <a class=\""strong\"" href=\""http://jinja.pocoo.org/docs/dev/templates/\"">đọc tài liệu này.</a></p>"
98173,vi_VN,"<h5 class=\""text-muted uppercase\"">Or</h5>","<h5 class=\""text-muted uppercase\"">Hoặc</h5>"
98174,vi_VN,<h5>Message Example</h5>\n<pre>&lt;h3&gt;Order Overdue&lt;/h3&gt;\n&lt;p&gt;Transaction {{ doc.name }} has exceeded Due Date. Please take necessary action.&lt;/p&gt;\n&lt;!-- show last comment --&gt;{% if comments %}Last comment: {{ comments[-1].comment }} by {{ comments[-1].by }}{% endif %}\n&lt;h4&gt;Details&lt;/h4&gt;\n&lt;ul&gt;&lt;li&gt;Customer: {{ doc.customer }}&lt;li&gt;Amount: {{ doc.grand_total }}&lt;/ul&gt;</pre>,<h5>Ví dụ Tin nhắn</h5>\n<pre>&lt;h3&gt;Đơn hàng Quá hạn&lt;/h3&gt;\n&lt;p&gt;Giao dịch {{ doc.name }} đã vượt quá Ngày đến hạn. Vui lòng thực hiện hành động cần thiết.&lt;/p&gt;\n&lt;!-- hiển thị bình luận cuối --&gt;{% if comments %}Bình luận cuối: {{ comments[-1].comment }} bởi {{ comments[-1].by }}{% endif %}\n&lt;h4&gt;Chi tiết&lt;/h4&gt;\n&lt;ul&gt;&lt;li&gt;Khách hàng: {{ doc.customer }}&lt;li&gt;Số tiền: {{ doc.grand_total }}&lt;/ul&gt;</pre>
98175,vi_VN,"<p><strong>Condition Examples:</strong></p><pre>doc.status==\""Open\""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000</pre>","<p><strong>Ví dụ Điều kiện:</strong></p><pre>doc.status==\""Open\""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000</pre>"
98176,vi_VN,"<p><strong>Condition Examples:</strong></p><pre>doc.status==\""Open\""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000</pre>","<p><strong>Ví dụ Điều kiện:</strong></p><pre>doc.status==\""Open\""<br>doc.due_date==nowdate()<br>doc.total &gt; 40000</pre>"
98177,vi_VN,<p>Multiple webforms can be created for a single doctype. Add filters specific to this webform to display correct record after submission.</p><p>For Example:</p><p>If you create a separate webform every year to capture feedback from employees add a  field named year in doctype and add a filter <b>year = 2023</b></p>,"<p>Nhiều biểu mẫu web có thể được tạo cho một loại tài liệu duy nhất. Thêm bộ lọc cụ thể cho biểu mẫu web này để hiển thị bản ghi chính xác sau khi gửi.</p><p>Ví dụ:</p><p>Nếu bạn tạo một biểu mẫu web riêng biệt mỗi năm để thu thập phản hồi từ nhân viên, hãy thêm  trường có tên year trong doctype và thêm bộ lọc <b>year = 2023</b></p>"
98178,vi_VN,"<p>Set context before rendering a template. Example:</p><p></p><div><pre><code>context.project = frappe.get_doc(\""Project\"", frappe.form_dict.name)</code></pre></div>","<p>Đặt ngữ cảnh trước khi hiển thị mẫu. Ví dụ:</p><p></p><div><pre><code>context.project = frappe.get_doc(\""Project\"", frappe.form_dict.name)</code></pre></div>"
98179,vi_VN,"<p>To interact with above HTML you will have to use `root_element` as a parent selector.</p><p>For example:</p><pre class=\""p-3 bg-gray-100 border-radius rounded-sm mb-0\"" style=\""width: fit-content;\""><code>// here root_element is provided by defaultlet some_class_element = root_element.querySelector('.some-class');some_class_element.textContent = \""New content\"";</code></pre>","<p>Để tương tác với HTML ở trên, bạn sẽ phải sử dụng `root_element` làm bộ chọn cha.</p><p>Ví dụ:</p><pre class=\""p-3 bg-gray-100 border-radius rounded-sm mb-0\"" style=\""width: fit-content;\""><code>// ở đây root_element được cung cấp theo mặc địnhlet some_class_element = root_element.querySelector('.some-class');some_class_element.textContent = \""Nội dung mới\"";</code></pre>"
98180,vi_VN,"<p>Your OTP secret on {0} has been reset. If you did not perform this reset and did not request it, please contact your System Administrator immediately.</p>","<p>Mã bí mật OTP của bạn trên {0} đã được đặt lại. Nếu bạn không thực hiện việc đặt lại này và không yêu cầu nó, vui lòng liên hệ với Quản trị viên Hệ thống của bạn ngay lập tức.</p>"
98181,vi_VN,<pre>*  *  *  *  *┬  ┬  ┬  ┬  ┬│  │  │  │  ││  │  │  │  └ day of week (0 - 6) (0 is Sunday)│  │  │  └───── month (1 - 12)│  │  └────────── day of month (1 - 31)│  └─────────────── hour (0 - 23)└──────────────────── minute (0 - 59)\n---\n* - Any value/ - Step values</pre>,<pre>*  *  *  *  *┬  ┬  ┬  ┬  ┬│  │  │  │  ││  │  │  │  └ ngày trong tuần (0 - 6) (0 là Chủ nhật)│  │  │  └───── tháng (1 - 12)│  │  └────────── ngày trong tháng (1 - 31)│  └─────────────── giờ (0 - 23)└──────────────────── phút (0 - 59)\n---\n* - Bất kỳ giá trị nào/ - Giá trị bước</pre>
98182,vi_VN,"<pre><code>doc.grand_total &gt; 0</code></pre>\n<p>Conditions should be written in simple Python. Please use properties available in the form only.</p><p>Allowed functions:</p><ul><li>frappe.db.get_value</li><li>frappe.db.get_list</li><li>frappe.session</li><li>frappe.utils.now_datetime</li><li>frappe.utils.get_datetime</li><li>frappe.utils.add_to_date</li><li>frappe.utils.now</li></ul><p>Example: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>","<pre><code>doc.grand_total &gt; 0</code></pre>\n<p>Điều kiện nên được viết bằng Python đơn giản. Vui lòng chỉ sử dụng các thuộc tính có sẵn trong biểu mẫu.</p><p>Các hàm được phép:</p><ul><li>frappe.db.get_value</li><li>frappe.db.get_list</li><li>frappe.session</li><li>frappe.utils.now_datetime</li><li>frappe.utils.get_datetime</li><li>frappe.utils.add_to_date</li><li>frappe.utils.now</li></ul><p>Ví dụ: </p><pre><code>doc.creation &gt; frappe.utils.add_to_date(frappe.utils.now_datetime(), days=-5, as_string=True, as_datetime=True) </code></pre><p></p>"
98183,vi_VN,"<span class=\""h2\"">Hi,</span>","<span class=\""h2\"">Xin chào,</span>"
98184,vi_VN,<strong>Warning:</strong> This field is system generated and may be overwritten by a future update. Modify it using {0} instead.,"<strong>Cảnh báo:</strong> Trường này được tạo bởi hệ thống và có thể bị ghi đè bởi bản cập nhật trong tương lai. Thay vào đó, hãy sửa đổi nó bằng {0}."
98185,vi_VN,=,=
98186,vi_VN,>,>
98187,vi_VN,>=,>=
98188,vi_VN,"A DocType's name should start with a letter and can only consist of letters, numbers, spaces, underscores and hyphens","Tên DocType nên bắt đầu bằng chữ cái và chỉ có thể bao gồm chữ cái, số, khoảng trắng, dấu gạch dưới và dấu gạch ngang"
98189,vi_VN,"A Frappe Framework instance can function as an OAuth Client, Resource, or Authorization server. This DocType contains settings related to all three.","Một phiên bản Frappe Framework có thể hoạt động như một OAuth Client, Resource, hoặc Authorization server. DocType này chứa các cài đặt liên quan đến cả ba."
98190,vi_VN,A field with the name {0} already exists in {1},Một trường với tên {0} đã tồn tại trong {1}
98191,vi_VN,A file with same name {} already exists,Một tệp với cùng tên {} đã tồn tại
98192,vi_VN,A list of resources which the Client App will have access to after the user allows it.<br> e.g. project,Danh sách các tài nguyên mà Ứng dụng Khách hàng sẽ có quyền truy cập sau khi người dùng cho phép.<br> ví dụ: dự án
98193,vi_VN,A new account has been created for you at {0},Một tài khoản mới đã được tạo cho bạn tại {0}
98194,vi_VN,A recurring {0} {1} has been created for you via Auto Repeat {2}.,Một {0} {1} định kỳ đã được tạo cho bạn thông qua Tự động Lặp lại {2}.
98195,vi_VN,A symbol for this currency. For e.g. $,Ký hiệu cho loại tiền tệ này. Ví dụ: $
98196,vi_VN,A template already exists for field {0} of {1},Một mẫu đã tồn tại cho trường {0} của {1}
98197,vi_VN,A version identifier string for the client software.<br>The value of the should change on any update of the client software with the same Software ID.,Chuỗi định danh phiên bản cho phần mềm khách hàng.<br>Giá trị này nên thay đổi khi có bất kỳ cập nhật nào của phần mềm khách hàng với cùng ID Phần mềm.
98198,vi_VN,A word by itself is easy to guess.,Một từ đơn lẻ rất dễ đoán.
98199,vi_VN,A0,A0
98200,vi_VN,A1,A1
98201,vi_VN,A2,A2
98202,vi_VN,A3,A3
98203,vi_VN,A4,A4
98204,vi_VN,A5,A5
98205,vi_VN,A6,A6
98206,vi_VN,A7,A7
98207,vi_VN,A8,A8
98208,vi_VN,A9,A9
98209,vi_VN,ALL,TẤT CẢ
98210,vi_VN,API,API
98211,vi_VN,API Access,Truy cập API
98212,vi_VN,API Endpoint,Điểm cuối API
98213,vi_VN,API Endpoint Args,Tham số Điểm cuối API
98214,vi_VN,API Endpoint Args should be valid JSON,Tham số Điểm cuối API phải là JSON hợp lệ
98215,vi_VN,API Key,Khóa API
98216,vi_VN,API Key and Secret to interact with the relay server. These will be auto-generated when the first push notification is sent from any of the apps installed on this site.,Khóa API và Mã bí mật để tương tác với máy chủ chuyển tiếp. Chúng sẽ được tự động tạo khi thông báo đẩy đầu tiên được gửi từ bất kỳ ứng dụng nào được cài đặt trên trang web này.
98217,vi_VN,API Key cannot be regenerated,Khóa API không thể tạo lại
98218,vi_VN,API Keys,Khóa API
98219,vi_VN,API Logging,Ghi nhật ký API
98220,vi_VN,API Method,Phương thức API
98221,vi_VN,API Request Log,Nhật ký Yêu cầu API
98222,vi_VN,API Secret,Mã bí mật API
98223,vi_VN,ASC,Tăng dần
98224,vi_VN,About,Giới thiệu
98225,vi_VN,About Us,Về Chúng tôi
98226,vi_VN,About Us Settings,Cài đặt Về Chúng tôi
98227,vi_VN,About Us Team Member,Thành viên Nhóm Về Chúng tôi
98228,vi_VN,About {0} minute remaining,Còn khoảng {0} phút
98229,vi_VN,About {0} minutes remaining,Còn khoảng {0} phút
